michelin_year,restaurant_name,michelin_stars,prior_stars,event_flag,area,flag
2011,ALs Place,0,0,None,SF,Include
2011,Trevese,0,1,Lost 1 Star(s),SF,Exclude
2011,El Paseo,0,1,Lost 1 Star(s),SF,Include
2011,Omakase,0,0,None,SF,Include
2011,Lord Stanley,0,0,None,SF,Include
2011,Nico,0,0,None,SF,Include
2011,Wako Japanese Restaurant,0,0,None,SF,Include
2011,Range Restaurant,0,1,Lost 1 Star(s),SF,Include
2011,Mirepoix,1,0,Gained 1 Star(s),SF,Exclude
2011,Fifth Floor,0,1,Lost 1 Star(s),SF,Exclude
2011,Chez Panisse,0,1,Lost 1 Star(s),SF,Include
2011,Kin Khao,0,0,None,SF,Include
2011,Maruya,0,0,None,SF,Include
2010,The French Laundry,3,Unknown,None,SF,Include
2010,The Restaurant At Meadowood,2,Unknown,None,SF,Include
2010,Manresa,2,Unknown,None,SF,Include
2010,Coi,2,Unknown,None,SF,Include
2010,Saison,0,Unknown,None,SF,Include
2010,Benu,0,Unknown,None,SF,Include
2010,Baumé,0,Unknown,None,SF,Include
2010,Quince,1,Unknown,None,SF,Include
2010,Atelier Crenn,0,Unknown,None,SF,Include
2010,Acquerello,1,Unknown,None,SF,Include
2010,Commis,1,Unknown,None,SF,Include
2010,Aziza,1,Unknown,None,SF,Include
2010,SolBar,1,Unknown,None,SF,Include
2010,Bouchon,1,Unknown,None,SF,Include
2010,Terra,1,Unknown,None,SF,Exclude
2010,Madrona Manor,1,Unknown,None,SF,Exclude
2010,Ame,1,Unknown,None,SF,Include
2010,Plumed Horse,1,Unknown,None,SF,Include
2010,Farmhouse Inn Restaurant,1,Unknown,None,SF,Include
2010,Chez TJ,1,Unknown,None,SF,Include
2010,La Toque,1,Unknown,None,SF,Include
2010,Auberge du Soleil,1,Unknown,None,SF,Exclude
2010,Luce,1,Unknown,None,SF,Exclude
2010,Campton Place Restaurant,0,Unknown,None,SF,Include
2010,Gary Danko,1,Unknown,None,SF,Include
2010,The Village Pub,1,Unknown,None,SF,Include
2010,Spruce,0,Unknown,None,SF,Include
2010,Cyrus,2,Unknown,None,SF,Exclude
2010,Boulevard,1,Unknown,None,SF,Include
2010,Wakuriya,0,Unknown,None,SF,Include
2010,La Folie,1,Unknown,None,SF,Include
2010,Michael Mina,1,Unknown,None,SF,Include
2010,Madera,0,Unknown,None,SF,Include
2010,Terrapin Creek Cafe & Restaurant,0,Unknown,None,SF,Include
2010,Sons & Daughters,0,Unknown,None,SF,Include
2010,Redd,1,Unknown,None,SF,Include
2010,Keiko  Nob Hill,0,Unknown,None,SF,Include
2010,Masas,1,Unknown,None,SF,Include
2010,All Spice,0,Unknown,None,SF,Include
2010,SPQR,0,Unknown,None,SF,Include
2010,Ubuntu,1,Unknown,None,SF,Exclude
2010,Alexanders Steakhouse,0,Unknown,None,SF,Include
2010,Frances,0,Unknown,None,SF,Include
2010,étoile,1,Unknown,None,SF,Exclude
2010,One Market Restaurant,1,Unknown,None,SF,Include
2010,Fleur de Lys,1,Unknown,None,SF,Exclude
2010,Santé,1,Unknown,None,SF,Include
2010,State Bird Provisions,0,Unknown,None,SF,Include
2010,La Costanera,0,Unknown,None,SF,Include
2010,The Dining Room at the Ritz Carlton,1,Unknown,None,SF,Exclude
2010,Applewood,0,Unknown,None,SF,Exclude
2010,Dio Deka,0,Unknown,None,SF,Include
2010,KUSAKABE,0,Unknown,None,SF,Include
2010,Murray Circle,1,Unknown,None,SF,Include
2010,Lazy Bear,0,Unknown,None,SF,Include
2010,Commonwealth,0,Unknown,None,SF,Include
2010,Rasa,0,Unknown,None,SF,Include
2010,Sushi Yoshizumi,0,Unknown,None,SF,Include
2010,Mourad Restaurant,0,Unknown,None,SF,Include
2010,Aster,0,Unknown,None,SF,Include
2010,Californios,0,Unknown,None,SF,Include
2010,Octavia,0,Unknown,None,SF,Include
2010,ALs Place,0,Unknown,None,SF,Include
2010,Trevese,1,Unknown,None,SF,Exclude
2010,El Paseo,1,Unknown,None,SF,Include
2010,Omakase,0,Unknown,None,SF,Include
2010,Lord Stanley,0,Unknown,None,SF,Include
2010,Nico,0,Unknown,None,SF,Include
2010,Wako Japanese Restaurant,0,Unknown,None,SF,Include
2010,Range Restaurant,1,Unknown,None,SF,Include
2010,Mirepoix,0,Unknown,None,SF,Exclude
2010,Fifth Floor,1,Unknown,None,SF,Exclude
2010,Chez Panisse,1,Unknown,None,SF,Include
2010,Kin Khao,0,Unknown,None,SF,Include
2010,Maruya,0,Unknown,None,SF,Include
